Ref,Val,Package,PosX,PosY,Rot,Side
"C83","0.1u","CAP_NONPOL_0402",178.964999,-89.405000,180.000000,top
"C84","1u","CAP_NONPOL_0805",149.070000,-96.410000,-90.000000,top
"C85","0.1u","CAP_NONPOL_0402",192.243068,-90.783073,180.000000,top
"C86","0.1u","CAP_NONPOL_0402",155.420000,-90.610000,90.000000,top
"C87","0.1u","CAP_NONPOL_0402",169.070000,-85.810000,0.000000,top
"C88","0.1u","CAP_NONPOL_0402",174.970000,-78.510000,180.000000,top
"C89","1n","CAP_NONPOL_0402",175.070000,-82.810000,0.000000,top
"C90","0.1u","CAP_NONPOL_0402",143.070000,-57.710000,90.000000,top
"C91","0.1u","CAP_NONPOL_0402",129.570000,-56.860000,90.000000,top
"C92","0.1u","CAP_NONPOL_0402",139.770000,-52.710000,180.000000,top
"C93","22u","CAP_NONPOL_0805",140.195000,-55.515000,180.000000,top
"C94","0.1u","CAP_NONPOL_0402",135.870000,-56.960000,90.000000,top
"C95","0.1u","CAP_NONPOL_0402",124.570000,-65.410000,90.000000,top
"C96","0.1u","CAP_NONPOL_0402",124.570000,-62.885000,90.000000,top
"C97","0.1u","CAP_NONPOL_0402",103.970000,-65.010000,90.000000,top
"C98","0.1u","CAP_NONPOL_0402",106.770000,-70.360000,90.000000,top
"C99","0.1u","CAP_NONPOL_0402",88.570000,-78.810000,45.000000,top
